Term,Type (Power Production/Power Consumption/People/Process/Material),ID,Description,Description Reference,Recommendation(s),Key Federal Law(s),Key Federal Policies/Guidance/Programs,ENERGY STAR Certified (Y/N),EPEAT Registered (Y/N),Other Standards,Notes
clean coal,Power Production,1,"electricity generation via coal-fired power plants that integrate carbon capture, utilization, and storage (CCUS) technologies to reduce carbon dioxide emissions; type of thermal power station",,Prioritize procurement from clean coal facilities certified as “qualifying advanced energy projects” by the US Department of Energy. Certified facilities capture and store a minimum of 65% of carbon dioxide emissions and are capable of producing at least 400 MW (26 U.S.C. § 48(A)).,"26 U.S.C. § 48(A): https://www.govinfo.gov/content/pkg/USCODE-2021-title26/html/USCODE-2021-title26-subtitleA-chap1-subchapA-partIV-subpartE-sec48A.htm

42 U.S.C. ch. 85 § 7401-7671q (Clean Air Act): https://www.govinfo.gov/content/pkg/USCODE-2010-title42/html/USCODE-2010-title42-chap85.htm

",N/A,N,N,N/A,
solar power,Power Production,2,"electricity generation via direct conversion of solar energy into electrical energy using photovoltaic (PV) cells, or via indirect conversion of sunlight into electricity using mirrors that concentrate sunlight into a solar receiver, and integration into a PV system that also includes mounting structures and/or building-integrated PV (BIPV), inverters, and battery storage; concentrated solar power system is a type of thermal power station",DOE Office of Energy Efficiency and Renewable Energy Solar Energy Technologies Office (SETO): https://www.energy.gov/eere/solar/solar-photovoltaic-system-design-basics,"To the greatest extent practicable, procure low-impact PV arrays to heat water for buildings, minimizing the adverse effects on topsoil, plants, and wildlife.

Maximize the value of PV systems and associated battery storage by: 1) energy arbitrage or decreasing demand for to lower utility bills and 2) dispatch the systems in response to demand to generate revenue, and 3) use as back-up power to support mission critical operations during outages (https://www.energy.gov/eere/femp/articles/considerations-implementing-pv-plus-storage-systems-federal-buildings-and)

Optimize PV system size and dispatch strategy using available federal tools, such as DOE National Renewable Energy Laboratory's (NREL's) Renewable Energy Integration and Optimization (REopt) platform (https://reopt.nrel.gov).","42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf

42 U.S.C. § 6834(a)(3): http://uscode.house.gov/view.xhtml?hl=false&edition=2012&req=granuleid%3AUSC-prelim-title42-section6834&f=treesort&fq=true&num=0

42 U.S.C. Ch. 152 § 17001 et seq. (Energy Independence and Security Act of 2007): https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter152&edition=prelim",InSPIRE: Low-Impact Solar Development Strategies Primer: https://openei.org/wiki/InSPIRE/Primer,Y,Y,,
wind power,Power Production,3,"electricity generation via conversion of kinetic energy from wind into electrical energy using wind turbines, which are integrated into a wind energy system consisting of associated towers, control systems, and transformers.",DOE Office of Energy Efficiency and Renewable Energy Wind Energy Technologies Office (WETO): https://www.energy.gov/eere/wind/how-do-wind-turbines-work,"To the greatest extent practicable, select sites for wind energy systems in areas that minimize adverse effects on wildlife, in particular birds and bats.

Bolster federal incentives for wind energy, including tax credits, financing mechanisms, and research funding (https://www.energy.gov/sites/default/files/2023-02/weto-funding-fact-sheet-feb-23.pdf)","16 U.S.C. § 1531-1544: https://uscode.house.gov/view.xhtml?path=/prelim@title16/chapter35&edition=prelim

16 U.S.C. § 703: https://www.govinfo.gov/content/pkg/USCODE-2021-title16/pdf/USCODE-2021-title16-chap7-subchapII-sec703.pdf

42 U.S.C. Ch. 152 § 17001 et seq. (Energy Independence and Security Act of 2007): https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter152&edition=prelim","Land-Based Wind Energy Siting: A Foundational and Technical Resource: https://www.nrel.gov/docs/fy21osti/78591.pdf

U.S. Fish and Wildlife Service Land-Based Wind Energy Guidelines: https://www.fws.gov/sites/default/files/documents/land-based-wind-energy-guidelines.pdf",N,N,"American Wind Energy Association (AWEA) Small Wind Turbine Performance and Safety Standard 9.1-2009: https://cleanpower.org/wp-content/uploads/2021/12/AWEA_2009_Small_Turbine_Standard.pdf

International Electrotechnical Commission (IEC) 61400-1, 61400-12, and 61400-11: https://webstore.iec.ch/webstore/webstore.nsf/mysearchajax?Openform&key=61400&sorting=&start=1&onglet=1",WINDExchange: DOE resource to assist with wind energy system site selection and associated environmental impacts
hydroelectric power,Power Production,4,electricity generation via conversion of kinetic energy of flowing water into electrical energy using hydropower turbines and integration with hydroelectric power plant components such as generators and regulators,DOE Office of Energy Efficiency and Renewable Energy Water Power Technologies Office (WPTO): https://www.energy.gov/eere/water/hydropower-basics,"To the greatest extent practicable, increase use of existing hydroelectric power plants and discourage construction of new hydroelectric power plants in areas in which construction would negatively impact food supply and economy of local communities and disrupt local ecology.","16 U.S.C. § 791 et seq.; Federal Power Act: https://www.energy.gov/sites/prod/files/2019/10/f67/Federal%20Power%20Act_2019_508_0.pdf

33 U.S. C. § 1344; Clean Water Act: https://www.govinfo.gov/content/pkg/USCODE-2011-title33/html/USCODE-2011-title33-chap26-subchapIV-sec1344.htm

33 U.S.C. § 403; Rivers and Harbors Act: https://www.govinfo.gov/content/pkg/USCODE-2011-title33/html/USCODE-2011-title33-chap9-subchapI-sec403.htm

16 U.S.C. § 1531-1544; Endangered Species Act: https://uscode.house.gov/view.xhtml?path=/prelim@title16/chapter35&edition=prelim

42 U.S.C. Ch. 152 § 17001 et seq. (Energy Independence and Security Act of 2007): https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter152&edition=prelim",,N,,,
tidal power,Power Production,5,"electricity generation via conversion of kinetic energy from tides into electricity using tidal barrages, turbines, or fences, and integration with associated generators and auxiliary components.",EIA: https://www.eia.gov/energyexplained/hydropower/tidal-power.php,"To the greatest extent practicable, select sites for tidal power plants in areas that minimize adverse effects on water quality and wildlife migration.

Improve tidal energy's potential for commercialization through concerted efforts to reduce costs and incorporate durable and biocompatible materials.","33 U.S. C. § 1344; Clean Water Act: https://www.govinfo.gov/content/pkg/USCODE-2011-title33/html/USCODE-2011-title33-chap26-subchapIV-sec1344.htm

33 U.S.C. § 403; Rivers and Harbors Act: https://www.govinfo.gov/content/pkg/USCODE-2011-title33/html/USCODE-2011-title33-chap9-subchapI-sec403.htm

42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf

42 U.S.C. Ch. 152 § 17001 et seq. (Energy Independence and Security Act of 2007): https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter152&edition=prelim",,N,,,
geothermal energy,Power Production,6,"capture and use of geothermal heat (generally 300F to 700F); electricity generation via conversion of geothermal heat into electrical energy using heated working fluid to turn turbines, and integration with generators and production and injection wells, reservoirs, control systems, and other components; type of thermal power station",EIA: https://www.eia.gov/energyexplained/geothermal/geothermal-power-plants.php,"Strongly consider including geothermal energy as part of the agency energy portfolio if the agency is located in the western states of the U.S. or Hawaii, where most geothermal power plants are located (https://www.eia.gov/energyexplained/geothermal/where-geothermal-energy-is-found.php)

Prioritize procurements from direct use heating systems and geothermal heat pumps rather than from geothermal power plants to minimize carbon dioxide and sulfur dioxide emissions ( https://www.eia.gov/energyexplained/geothermal/use-of-geothermal-energy.php)","42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf

30 U.S.C. Ch. 23 § 1001-1028: https://uscode.house.gov/view.xhtml?path=/prelim@title30/chapter23&edition=prelim

42 U.S.C. Ch. 152 § 17001 et seq. (Energy Independence and Security Act of 2007): https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter152&edition=prelim",,Y,,,ENERGY STAR Criteria: https://www.energystar.gov/productfinder/product/certified-geothermal-heat-pumps/results
biopower,Power Production,7,"electricity generation via conversion of biomass fuels into heat using direct combustion, anaerobic digestion, gasification, or pyrolysis; thermal power",DOE Bioenergy Technologies Office: https://www.energy.gov/eere/bioenergy/biopower-basics,"Ensure the diversity of biomass feedstocks, including but not limited to food waste, crop waste, industrial and municipal solid waste, agriculture and forestry residues, and non-recyclable municipal solid waste","42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf

42 U.S.C. Ch. 152 § 17001 et seq. (Energy Independence and Security Act of 2007): https://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter152&edition=prelim",,N,,,USDA FSA Biomass Crop Assistance Program: https://www.fsa.usda.gov/FSA/webapp?area=home&subject=agri&topic=bcap
natural gas power,Power Production,8,"electricity generation via gas-fired power plants in which natural gas, primarily composed of methane, is combusted to generate electricity; type of thermal power station; in addition to electricity, can also be used to heat buildings and water",,"Avoid procurements from vendors that engage in hydraulic fracturing to recover natural gas and oil

Favor natural gas over coal and distillate fuel oil because its combustion produces comparatively  less carbon dioxide for an equal amount of energy (https://www.eia.gov/energyexplained/natural-gas/natural-gas-and-the-environment.php)",42 U.S.C. § 13201 et seq.; (Energy Policy Act of 2005): https://www.govinfo.gov/content/pkg/BILLS-109hr6enr/pdf/BILLS-109hr6enr.pdf,,Y,,,ENERGY STAR link is to gas water heaters. For furnaces: https://www.energystar.gov/productfinder/product/certified-furnaces/results?formId=ded6023e-ccb5-4ec6-a908-f55069c0ba50&scrollTo=465.3333435058594&search_text=&fuel_type_filter=Natural+Gas&brand_name_isopen=0&markets_filter=United+States&zip_code_filter=&product_types=Select+a+Product+Category&sort_by=efficiency_afue&sort_direction=desc&currentZipCode=20008&page_number=0&lastpage=0
Substitute Natural Gas (SNG) power,Power Production,9,"electricity generation via gas-fired power plants in which substitute natural gas, a synthetic gas primarily composed of methane and produced from biomass or fossil fuels such as coal, is combusted to generate electricity; type of thermal power station",,"Where applicable, consider using SNG in place of natural gas for electricity generation and heating.",,,N,,,
wood gas,Power Production,10,"fuel gas consisting primarily of carbon monoxide, hydrogen, and nitrogen, created by heating wood or other biomass in a gasifier; can be used for electricity generation via combustion and for heating.",,"Consider wood gas, which is derived from wood or other biomass, a means for heating and powering motors in place of fossil fuels in scenarios where large storage volumes are possible. Wood gas requires comparatively larger storage volumes due to its lower heat of combustion.

Patrolling data centers",,,N,,,
